City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
351,viedma,-40.8135,-62.9967,22.69,27,0,8.23,AR,1704815090
352,puerto aysen,-45.4,-72.7,11.16,72,82,2.57,CL,1704815091
353,at taj,24.2049,23.2857,19.08,17,73,5.5,LY,1704815091
354,khoyniki,51.8911,29.9552,-9.77,96,95,3.8,BY,1704815091
355,pahrump,36.2083,-115.9839,-4.97,31,20,0.64,US,1704815091
356,codrington,-38.2667,141.9667,15.29,95,31,2.1,AU,1704815092
357,pajapan,18.25,-94.7,24.09,67,48,3.89,MX,1704815092
358,port elizabeth,-33.918,25.5701,24.16,78,40,5.66,ZA,1704815092
359,barcelos,41.5388,-8.6151,9.4,96,100,1.91,PT,1704815092
360,port mathurin,-19.6833,63.4167,28.42,71,46,4.2,MU,1704815093
361,sao joao da barra,-21.6403,-41.0511,34.05,81,95,2.55,BR,1704815093
362,zhaotong,27.3167,103.7167,2.61,94,18,2.82,CN,1704815093
